ano,identificacao,tipo,autoria,casa,data_apresentacao,situacao,virou_norma,tema,ementa,codigo_materia,url
2020,PL 2776/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-05-04,TRANSFORMADA EM NORMA JURÍDICA,True,Meio Ambiente,Altera os limites da Floresta Nacional de Brasília.,154316,https://legis.senado.gov.br/sdleg-getter/documento?dm=9139161
2020,PL 5637/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-05-17,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Outros,"Altera a Lei nº 11.771, de 17 de setembro de 2008, para prever sanções aos prestadores de serviços turísticos que cometerem infrações associadas à facilitação do turismo sexual.",154395,https://legis.senado.gov.br/sdleg-getter/documento?dm=9158934
2020,PL 2738/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-05-19,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Denomina Rodovia Deputado Oscar Goldoni o trecho da BR-463 entre os Municípios de Dourados e Ponta Porã, no Estado de Mato Grosso do Sul.",153174,https://legis.senado.gov.br/sdleg-getter/documento?dm=9160379
2020,PL 292/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-06-02,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,"Altera os limites do Parque Nacional da Serra do Itajaí, localizado nos Municípios de Ascurra, Apiúna, Blumenau, Botuverá, Gaspar, Guabiruba, Indaial, Presidente Nereu e Vidal Ramos, no Estado de Santa Catarina, e criado pelo Decreto de 4 de junho de 2004.",154428,https://legis.senado.gov.br/sdleg-getter/documento?dm=9167179
2020,PL 4513/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-08-11,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Educação,"Institui a Política Nacional de Educação Digital; altera as Leis nºs 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), 9.448, de 14 de março de 1997, 10.260, de 12 de julho de 2001, e 10.753, de 30 de outubro de 2003; e dá outras providências.",154469,https://legis.senado.gov.br/sdleg-getter/documento?dm=9192835
2020,PL 1211/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-08-15,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,Institui o Dia Nacional da Diálise.,154489,https://legis.senado.gov.br/sdleg-getter/documento?dm=9193251
2020,PL 4940/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-10-19,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,Inscreve o nome de Antonieta de Barros no Livro dos Heróis e Heroínas da Pátria.,154924,https://legis.senado.gov.br/sdleg-getter/documento?dm=9205855
2020,PL 5310/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-10-19,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Denomina Viaduto Francisco Pereira Netto o viaduto situado sobre a rodovia BR-116, nas proximidades do km 117, no bairro Campo de Santana, no Município de Curitiba, Estado do Paraná.",154926,https://legis.senado.gov.br/sdleg-getter/documento?dm=9205865
2020,PL 81/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-11-29,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Concede ao Município de São Luís, capital do Estado do Maranhão, o título de Capital Nacional do Reggae.",155268,https://legis.senado.gov.br/sdleg-getter/documento?dm=9216738
2020,PL 473/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2022-12-19,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,Institui a Semana do Migrante.,155542,https://legis.senado.gov.br/sdleg-getter/documento?dm=9227478
